customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2679-FHADA,Male,0,Yes,Yes,14,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.55,270.8,Yes
7924-CBHCA,Male,0,No,No,35,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,100.56,3171.07,No
2654-DDGBC,Female,0,Yes,Yes,29,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.85,2942.86,No
6155-BDHFB,Male,0,No,No,51,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,45.31,2152.86,No
8668-EHGAF,Female,0,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),78.83,4076.82,No
9317-EBGEG,Male,0,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,69.78,1406.15,No
2133-HEBFH,Male,0,No,Yes,72,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,114.59,7531.43,No
1117-AFBHG,Male,0,No,No,43,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),20.15,851.8,No
2612-AFGAB,Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),65.64,3445.23,No
1035-HCGDD,Female,0,No,Yes,27,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,106.19,2968.53,Yes
5033-EAAFE,Female,1,Yes,No,8,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,86.87,649.98,Yes
2127-HCBGF,Male,0,No,Yes,27,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,69.6,1728.62,No
6617-BFCDH,Male,0,No,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,33.86,2233.35,Yes
2232-HFBAC,Male,0,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,74.27,4010.03,Yes
3532-HBBGB,Female,0,No,No,13,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,54.08,691.78,No
4269-GDCGB,Male,0,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),57.02,671.44,No
5279-BHCAD,Female,0,Yes,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),51.78,3183.51,No
4228-CAFCC,Male,0,No,No,66,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),112.41,7276.38,No
6279-DDBDH,Male,0,No,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,103.04,6820.29,Yes
7291-DBFAG,Male,0,Yes,Yes,53,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),108.39,5666.26,No
3607-FDCBF,Female,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),61.53,4079.8,No
3503-FADED,Male,0,No,Yes,69,Yes,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),26.22,1669.19,No
7624-FGHHE,Female,0,Yes,Yes,34,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),62.46,1920.52,No
2341-DFAHB,Male,0,Yes,Yes,48,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),46.38,2321.26,No
