customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,Churn,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,MonthlyCharges,TotalCharges,tenure_bucket,num_services,avg_charge_per_service,charge_to_tenure_ratio,is_month_to_month,has_internet,senior_and_alone
7590-VHVEG,Female,0,Yes,No,1,Month-to-month,Yes,Electronic check,No,No,No phone service,DSL,No,Yes,No,No,No,No,29.85,29.85,0-1yr,1,14.925,29.85,1,1,0
5575-GNVDE,Male,0,No,No,34,One year,No,Mailed check,No,Yes,No,DSL,Yes,No,Yes,No,No,No,56.95,1889.5,2-4yr,2,18.983333333333334,55.5735294117647,0,1,0
3668-QPYBK,Male,0,No,No,2,Month-to-month,Yes,Mailed check,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,53.85,108.15,0-1yr,2,17.95,54.075,1,1,0
7795-CFOCW,Male,0,No,No,45,One year,No,Bank transfer (automatic),No,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,42.3,1840.75,2-4yr,3,10.575,40.90555555555556,0,1,0
9237-HQITU,Female,0,No,No,2,Month-to-month,Yes,Electronic check,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,70.7,151.65,0-1yr,0,70.7,75.825,1,1,0
9305-CDSKC,Female,0,No,No,8,Month-to-month,Yes,Electronic check,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,99.65,820.5,0-1yr,3,24.9125,102.5625,1,1,0
1452-KIOVK,Male,0,No,Yes,22,Month-to-month,Yes,Credit card (automatic),No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,89.1,1949.4,1-2yr,2,29.7,88.60909090909091,1,1,0
6713-OKOMC,Female,0,No,No,10,Month-to-month,No,Mailed check,No,No,No phone service,DSL,Yes,No,No,No,No,No,29.75,301.9,0-1yr,1,14.875,30.189999999999998,1,1,0
7892-POOKP,Female,0,Yes,No,28,Month-to-month,Yes,Electronic check,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,104.8,3046.05,2-4yr,4,20.96,108.78750000000001,1,1,0
6388-TABGU,Male,0,No,Yes,62,One year,No,Bank transfer (automatic),No,Yes,No,DSL,Yes,Yes,No,No,No,No,56.15,3487.95,4yr+,2,18.716666666666665,56.25725806451613,0,1,0
9763-GRSKD,Male,0,Yes,Yes,13,Month-to-month,Yes,Mailed check,No,Yes,No,DSL,Yes,No,No,No,No,No,49.95,587.45,1-2yr,1,24.975,45.18846153846154,1,1,0
7469-LKBCI,Male,0,No,No,16,Two year,No,Credit card (automatic),No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.95,326.8,1-2yr,0,18.95,20.425,0,0,0
8091-TTVAX,Male,0,Yes,No,58,One year,No,Credit card (automatic),No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,100.35,5681.1,4yr+,3,25.0875,97.95,0,1,0
0280-XJGEX,Male,0,No,No,49,Month-to-month,Yes,Bank transfer (automatic),Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,103.7,5036.3,4yr+,4,20.740000000000002,102.78163265306122,1,1,0
5129-JLPIS,Male,0,No,No,25,Month-to-month,Yes,Electronic check,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,105.5,2686.05,2-4yr,5,17.583333333333332,107.44200000000001,1,1,0
3655-SNQYZ,Female,0,Yes,Yes,69,Two year,No,Credit card (automatic),No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,113.25,7895.15,4yr+,6,16.178571428571427,114.42246376811593,0,1,0
8191-XWSZG,Female,0,No,No,52,One year,No,Mailed check,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.65,1022.95,4yr+,0,20.65,19.672115384615385,0,0,0
